id,property_id,property_neurite,property_desc,parcel,neurite_quant_neurite
1,389,axons,DG:SMo,DG:SMo:A,DG:SMo:A
2,390,axons,DG:SMi,DG:SMi:A,DG:SMi:A
3,391,axons,DG:SG,DG:SG:A,DG:SG:A
4,392,axons,DG:H,DG:H:A,DG:H:A
5,393,axons,CA3:SLM,CA3:SLM:A,CA3:SLM:A
6,394,axons,CA3:SR,CA3:SR:A,CA3:SR:A
7,395,axons,CA3:SL,CA3:SL:A,CA3:SL:A
8,396,axons,CA3:SP,CA3:SP:A,CA3:SP:A
9,397,axons,CA3:SO,CA3:SO:A,CA3:SO:A
10,398,axons,CA2:SLM,CA2:SLM:A,CA2:SLM:A
11,399,axons,CA2:SR,CA2:SR:A,CA2:SR:A
12,400,axons,CA2:SP,CA2:SP:A,CA2:SP:A
13,401,axons,CA2:SO,CA2:SO:A,CA2:SO:A
14,402,axons,CA1:SLM,CA1:SLM:A,CA1:SLM:A
15,403,axons,CA1:SR,CA1:SR:A,CA1:SR:A
16,404,axons,CA1:SP,CA1:SP:A,CA1:SP:A
17,405,axons,CA1:SO,CA1:SO:A,CA1:SO:A
18,406,axons,SUB:SM,SUB:SM:A,Sub:SM:A
19,407,axons,SUB:SP,SUB:SP:A,Sub:SP:A
20,408,axons,SUB:PL,SUB:PL:A,Sub:PL:A
21,409,axons,EC:I,EC:I:A,EC:I:A
22,410,axons,EC:II,EC:II:A,EC:II:A
23,411,axons,EC:III,EC:III:A,EC:III:A
24,412,axons,EC:IV,EC:IV:A,EC:IV:A
25,413,axons,EC:V,EC:V:A,EC:V:A
26,414,axons,EC:VI,EC:VI:A,EC:VI:A
27,415,axons,DG,DG:ALL:A,DG:All:A
28,416,axons,CA3,CA3:ALL:A,CA3:All:A
29,417,axons,CA2,CA2:ALL:A,CA2:All:A
30,418,axons,CA1,CA1:ALL:A,CA1:All:A
31,419,axons,SUB,SUB:ALL:A,Sub:All:A
32,420,axons,EC,EC:ALL:A,EC:All:A
33,455,dendrites,DG:SMo,DG:SMo:D,DG:SMo:D
34,456,dendrites,DG:SMi,DG:SMi:D,DG:SMi:D
35,457,dendrites,DG:SG,DG:SG:D,DG:SG:D
36,458,dendrites,DG:H,DG:H:D,DG:H:D
37,459,dendrites,CA3:SLM,CA3:SLM:D,CA3:SLM:D
38,460,dendrites,CA3:SR,CA3:SR:D,CA3:SR:D
39,461,dendrites,CA3:SL,CA3:SL:D,CA3:SL:D
40,462,dendrites,CA3:SP,CA3:SP:D,CA3:SP:D
41,463,dendrites,CA3:SO,CA3:SO:D,CA3:SO:D
42,464,dendrites,CA2:SLM,CA2:SLM:D,CA2:SLM:D
43,465,dendrites,CA2:SR,CA2:SR:D,CA2:SR:D
44,466,dendrites,CA2:SP,CA2:SP:D,CA2:SP:D
45,467,dendrites,CA2:SO,CA2:SO:D,CA2:SO:D
46,468,dendrites,CA1:SLM,CA1:SLM:D,CA1:SLM:D
47,469,dendrites,CA1:SR,CA1:SR:D,CA1:SR:D
48,470,dendrites,CA1:SP,CA1:SP:D,CA1:SP:D
49,471,dendrites,CA1:SO,CA1:SO:D,CA1:SO:D
50,472,dendrites,SUB:SM,SUB:SM:D,Sub:SM:D
51,473,dendrites,SUB:SP,SUB:SP:D,Sub:SP:D
52,474,dendrites,SUB:PL,SUB:PL:D,Sub:PL:D
53,475,dendrites,EC:I,EC:I:D,EC:I:D
54,476,dendrites,EC:II,EC:II:D,EC:II:D
55,477,dendrites,EC:III,EC:III:D,EC:III:D
56,478,dendrites,EC:IV,EC:IV:D,EC:IV:D
57,479,dendrites,EC:V,EC:V:D,EC:V:D
58,480,dendrites,EC:VI,EC:VI:D,EC:VI:D
59,481,dendrites,DG,DG:ALL:D,DG:All:D
60,482,dendrites,CA3,CA3:ALL:D,CA3:All:D
61,483,dendrites,CA2,CA2:ALL:D,CA2:All:D
62,484,dendrites,CA1,CA1:ALL:D,CA1:All:D
63,485,dendrites,SUB,SUB:ALL:D,Sub:All:D
64,486,dendrites,EC,EC:ALL:D,EC:All:D
